currency,architecture,attack_scale,bad_debt_probability,mean_bad_debt_share,p95_maximum_oracle_error,mean_credit_issued
ARS,Static single oracle,0,0.139166667,0.00494359591,0.123185114,0.701706692
ARS,Static single oracle,0.5,0.140833333,0.00492914323,0.137494431,0.703448654
ARS,Static single oracle,1,0.156666667,0.00509763764,0.312299539,0.705759264
ARS,Static single oracle,1.5,0.185,0.00536717468,0.485745507,0.707966109
ARS,Static single oracle,2,0.208333333,0.0058233161,0.661013071,0.710204023
ARS,Adaptive multi + breaker,0,0.00333333333,3.98916186e-05,0.373867066,0.199302889
ARS,Adaptive multi + breaker,0.5,0.00333333333,3.98916186e-05,0.373867066,0.198739945
ARS,Adaptive multi + breaker,1,0.00333333333,3.98916186e-05,0.373867066,0.198729043
ARS,Adaptive multi + breaker,1.5,0.00333333333,3.98916186e-05,0.373867066,0.198728004
ARS,Adaptive multi + breaker,2,0.00333333333,3.98916186e-05,0.373867066,0.198726586
TRY,Static single oracle,0,0.148333333,0.00594172811,0.370110182,0.695444576
TRY,Static single oracle,0.5,0.149166667,0.00600339343,0.370110182,0.697042815
TRY,Static single oracle,1,0.1625,0.00619638234,0.372763757,0.698591763
TRY,Static single oracle,1.5,0.184166667,0.00643014789,0.458857546,0.700672721
TRY,Static single oracle,2,0.2,0.00687208786,0.622847799,0.702596039
TRY,Adaptive multi + breaker,0,0.00333333333,2.06879667e-05,0.373791362,0.219275826
TRY,Adaptive multi + breaker,0.5,0.00333333333,2.06879667e-05,0.373791362,0.219140706
TRY,Adaptive multi + breaker,1,0.00333333333,2.06879667e-05,0.373791362,0.219174548
TRY,Adaptive multi + breaker,1.5,0.00333333333,2.06879667e-05,0.373791362,0.219185687
TRY,Adaptive multi + breaker,2,0.00333333333,2.06879667e-05,0.373791362,0.219178815
