architecture,attack_scale,bad_debt_probability,mean_bad_debt_share,p95_maximum_oracle_error,mean_credit_issued
Adaptive multi + breaker,0,0.00333333333,3.02897926e-05,0.373829214,0.209289357
Adaptive multi + breaker,0.5,0.00333333333,3.02897926e-05,0.373829214,0.208940325
Adaptive multi + breaker,1,0.00333333333,3.02897926e-05,0.373829214,0.208951795
Adaptive multi + breaker,1.5,0.00333333333,3.02897926e-05,0.373829214,0.208956846
Adaptive multi + breaker,2,0.00333333333,3.02897926e-05,0.373829214,0.2089527
Static single oracle,0,0.14375,0.00544266201,0.246647648,0.698575634
Static single oracle,0.5,0.145,0.00546626833,0.253802307,0.700245734
Static single oracle,1,0.159583333,0.00564700999,0.342531648,0.702175513
Static single oracle,1.5,0.184583333,0.00589866128,0.472301526,0.704319415
Static single oracle,2,0.204166667,0.00634770198,0.641930435,0.706400031
