currency,design,bad_debt_probability,severe_depeg_probability,mean_credit_issued,mean_pause_share,mean_rate,mean_ceiling
ARS,Rate only,0.0858333333,0.526666667,0.300121918,0,0.547559006,1
ARS,Ceiling only,0.0791666667,1,0.118799833,0,0.08,0.232953324
ARS,Liquidation only,0.00333333333,1,0.872179185,0,0.08,1
ARS,All controls,0.00166666667,0.445833333,0.248642679,0,0.671000068,0.40329589
ARS,All + breaker,0.0025,0,0.201553442,0.288475694,0.611115311,0.439415618
TRY,Rate only,0.0975,0.650833333,0.308582732,0,0.552001409,1
TRY,Ceiling only,0.0808333333,0.999166667,0.11691852,0,0.08,0.233229104
TRY,Liquidation only,0.0075,1,0.871344686,0,0.08,1
TRY,All controls,0.00166666667,0.566666667,0.263643684,0,0.66710285,0.418111195
TRY,All + breaker,0.00166666667,0.2325,0.223752853,0.289071181,0.624711639,0.441826451
