currency,delay_hours,bad_debt_probability,severe_depeg_probability,mean_credit_issued,mean_rate,mean_ceiling,mean_parameter_turnover
ARS,0,0.00416666667,0.450833333,0.247224254,0.678381247,0.402286261,53.0981824
ARS,6,0.005,0.47,0.24789757,0.683808615,0.407107896,59.6848917
ARS,12,0.0075,0.575833333,0.245842194,0.691978968,0.411418509,46.8527693
ARS,24,0.0108333333,1,0.244531946,0.702124392,0.421767355,39.7976622
ARS,48,0.0225,1,0.25232055,0.678500984,0.447297311,28.6866537
ARS,72,0.0266666667,1,0.267798428,0.628738793,0.477913146,21.854697
TRY,0,0.00583333333,0.5575,0.260693931,0.674843425,0.417314739,43.9009146
TRY,6,0.00833333333,0.58,0.258756509,0.68294611,0.422242291,51.417264
TRY,12,0.0108333333,0.6525,0.253697613,0.696025356,0.426334019,40.1992417
TRY,24,0.0166666667,0.88,0.248783902,0.712088874,0.433442008,34.8946816
TRY,48,0.0275,1,0.251094536,0.691159424,0.451634286,26.7261898
TRY,72,0.035,1,0.268937523,0.630869836,0.482209099,19.7957298
