currency,latency_hours,official_gap_multiplier,bad_debt_probability,severe_depeg_probability,mean_oracle_error,p95_maximum_oracle_error,mean_unnecessary_liquidations
ARS,0,0,0.141666667,1,0.000518114412,0.34312247,0
ARS,0,0.5,0.140833333,1,0.0209163165,0.3209101,0
ARS,0,1,0.144166667,1,0.0413145186,0.305053329,0.295833333
ARS,0,1.5,0.145833333,1,0.0617127207,0.284150303,2.10916667
ARS,0,2,0.134166667,1,0.0821109228,0.265295537,3.975
ARS,6,0,0.1425,1,0.00249547796,0.345143781,0
ARS,6,0.5,0.1425,1,0.0211785662,0.323226777,0.00416666667
ARS,6,1,0.144166667,1,0.04154342,0.306330341,0.3275
ARS,6,1.5,0.143333333,1,0.061908437,0.28744583,2.13833333
ARS,6,2,0.133333333,1,0.0822734541,0.267590036,3.98583333
ARS,12,0,0.141666667,1,0.00339392538,0.34536705,0
ARS,12,0.5,0.141666667,1,0.0214418631,0.323752718,0.00666666667
ARS,12,1,0.143333333,1,0.0417715848,0.307144762,0.389166667
ARS,12,1.5,0.144166667,1,0.0621034242,0.287733543,2.14833333
ARS,12,2,0.133333333,1,0.0824352647,0.267192118,4.01416667
ARS,24,0,0.141666667,1,0.00472107939,0.34544434,0
ARS,24,0.5,0.140833333,1,0.0219767647,0.324439259,0.0166666667
ARS,24,1,0.145833333,1,0.0422250653,0.30667956,0.444166667
ARS,24,1.5,0.141666667,1,0.0624905201,0.288131496,2.24
ARS,24,2,0.134166667,1,0.0827561103,0.267120706,4.04916667
ARS,48,0,0.141666667,1,0.00668630169,0.343634509,0
ARS,48,0.5,0.140833333,1,0.023076799,0.325231228,0.035
ARS,48,1,0.1425,1,0.0431274281,0.30757933,0.575833333
ARS,48,1.5,0.1425,1,0.0632579897,0.286827749,2.35166667
ARS,48,2,0.135833333,1,0.0833912662,0.263092706,4.11666667
TRY,0,0,0.163333333,1,0.000498741581,0.343857253,0
TRY,0,0.5,0.1575,1,0.0235193983,0.315830272,0.293333333
TRY,0,1,0.149166667,1,0.0465432765,0.3,1.42833333
TRY,0,1.5,0.146666667,1,0.0695751851,0.443599955,2.82916667
TRY,0,2,0.14,1,0.0926213622,0.591466607,4.4125
TRY,6,0,0.160833333,1,0.0025054224,0.346183886,0.00666666667
TRY,6,0.5,0.1575,1,0.0237899817,0.31818913,0.295833333
TRY,6,1,0.149166667,1,0.0467670019,0.369338593,1.44916667
TRY,6,1.5,0.1475,1,0.0697615316,0.473331276,2.84416667
TRY,6,2,0.140833333,1,0.0927704482,0.594445163,4.40833333
TRY,12,0,0.158333333,1,0.00344021505,0.346296679,0.01
TRY,12,0.5,0.1575,1,0.0241001354,0.319242343,0.325
TRY,12,1,0.150833333,1,0.0469919643,0.371332036,1.4725
TRY,12,1.5,0.146666667,1,0.0699476704,0.475399934,2.84166667
TRY,12,2,0.14,1,0.0929192222,0.595659069,4.39333333
TRY,24,0,0.159166667,1,0.00486159517,0.349645992,0.0133333333
TRY,24,0.5,0.1575,1,0.0247743348,0.31985995,0.355
TRY,24,1,0.148333333,1,0.0474575201,0.373030804,1.48916667
TRY,24,1.5,0.145833333,1,0.0703189651,0.478218181,2.8625
TRY,24,2,0.140833333,1,0.0932142388,0.593891559,4.42
TRY,48,0,0.1575,1,0.00705916865,0.343818702,0.0233333333
TRY,48,0.5,0.154166667,1,0.0261719107,0.318447892,0.4325
TRY,48,1,0.1475,1,0.0484468663,0.376669709,1.6075
TRY,48,1.5,0.1475,1,0.0710757891,0.480939343,2.9175
TRY,48,2,0.1375,1,0.0937999456,0.596869529,4.4525
