latency_hours,official_gap_multiplier,bad_debt_probability,severe_depeg_probability,mean_oracle_error,p95_maximum_oracle_error,mean_unnecessary_liquidations
0,0,0.1525,1,0.000508427996,0.343489862,0
0,0.5,0.149166667,1,0.0222178574,0.318370186,0.146666667
0,1,0.146666667,1,0.0439288976,0.302526665,0.862083333
0,1.5,0.14625,1,0.0656439529,0.363875129,2.46916667
0,2,0.137083333,1,0.0873661425,0.428381072,4.19375
6,0,0.151666667,1,0.00250045018,0.345663834,0.00333333333
6,0.5,0.15,1,0.0224842739,0.320707954,0.15
6,1,0.146666667,1,0.044155211,0.337834467,0.888333333
6,1.5,0.145416667,1,0.0658349843,0.380388553,2.49125
6,2,0.137083333,1,0.0875219512,0.4310176,4.19708333
12,0,0.15,1,0.00341707021,0.345831864,0.005
12,0.5,0.149583333,1,0.0227709993,0.321497531,0.165833333
12,1,0.147083333,1,0.0443817745,0.339238399,0.930833333
12,1.5,0.145416667,1,0.0660255473,0.381566738,2.495
12,2,0.136666667,1,0.0876772434,0.431425594,4.20375
24,0,0.150416667,1,0.00479133728,0.347545166,0.00666666667
24,0.5,0.149166667,1,0.0233755498,0.322149605,0.185833333
24,1,0.147083333,1,0.0448412927,0.339855182,0.966666667
24,1.5,0.14375,1,0.0664047426,0.383174839,2.55125
24,2,0.1375,1,0.0879851745,0.430506133,4.23458333
48,0,0.149583333,1,0.00687273517,0.343726605,0.0116666667
48,0.5,0.1475,1,0.0246243548,0.32183956,0.23375
48,1,0.145,1,0.0457871472,0.342124519,1.09166667
48,1.5,0.145,1,0.0671668894,0.383883546,2.63458333
48,2,0.136666667,1,0.0885956059,0.429981117,4.28458333
