path_id,step,hour,currency,architecture,lcu_usd,eth_usd,oracle_ratio_error,source_disagreement,dex_discount,annual_rate,debt_ceiling,liquidation_ratio,paused,bad_debt_cumulative,credit_cumulative
0,0,6,ARS,Static single oracle,0.999783498,1.01969043,-0.0112399739,0.0307390543,0.010860874,0.08,1,1.5,0,0,0.00178257905
1,0,6,ARS,Static single oracle,0.996029368,0.994135127,-0.0150019841,0.00911984536,0.0131928264,0.08,1,1.5,0,0,0.00182258109
2,0,6,ARS,Static single oracle,1.00164193,0.998973472,-0.00938286537,0.00835581056,0.0107541697,0.08,1,1.5,0,0,0.00178318983
0,1,12,ARS,Static single oracle,0.998471648,1.026381,-0.0125529695,0.0494528701,0.021874737,0.08,1,1.5,0,0,0.0035764623
1,1,12,ARS,Static single oracle,0.999974241,1.00142825,-0.0110492075,0.0256692648,0.0232557107,0.08,1,1.5,0,0,0.00360280199
2,1,12,ARS,Static single oracle,0.998939223,0.999600429,-0.0120847889,0.0224393077,0.0226671368,0.08,1,1.5,0,0,0.00359520341
0,2,18,ARS,Static single oracle,1.00221746,1.01474688,-0.00880844158,0.0453223816,0.0315782968,0.08,1,1.5,0,0,0.00536067673
1,2,18,ARS,Static single oracle,0.997798213,1.00545826,-0.0132276627,0.0419267903,0.0341895246,0.08,1,1.5,0,0,0.00540623682
2,2,18,ARS,Static single oracle,1.0011794,0.980913521,-0.00984474189,0.0132409019,0.0323056991,0.08,1,1.5,0,0,0.00537756982
0,3,24,ARS,Static single oracle,1.00110127,1.00171181,-0.00992278673,0.0432114294,0.0415106095,0.08,1,1.5,0,0,0.00715680615
1,3,24,ARS,Static single oracle,0.996344658,0.999284151,-0.0146854881,0.0481589075,0.044103261,0.08,1,1.5,0,0,0.00719809692
2,3,24,ARS,Static single oracle,0.999788038,0.972963564,-0.0112354329,0.0161324872,0.0423481792,0.08,1,1.5,0,0,0.00717478616
0,4,30,ARS,Static single oracle,1.00149085,1.003352,-0.00931718262,0.0346751092,0.0502625246,0.08,1,1.5,0,0,0.00894011311
1,4,30,ARS,Static single oracle,1.001631,0.997877329,-0.00541524042,0.0532757132,0.0527654633,0.08,1,1.5,0,0,0.00898837583
2,4,30,ARS,Static single oracle,0.999291274,0.979336317,-0.0133730094,0.0358680795,0.0512981858,0.08,1,1.5,0,0,0.00895705391
